Number of iterations,aspiration,lenght of tabu list,maximum run time,Nb customers,Nb vehicles,Capacity,DB,results,num graph

100,True,3,60,15,3,140,0.8034807981054621,418.2999090221464,0
100,True,3,75,15,3,140,0.8034807981054621,418.2999090221464,0
100,True,7,60,15,3,140,0.8034807981054621,414.4371362511624,0
100,True,7,75,15,3,140,0.8034807981054621,414.43713625116237,0
100,True,14,60,15,3,140,0.8034807981054621,414.4371362511624,0
100,True,14,75,15,3,140,0.8034807981054621,414.4371362511624,0
125,True,3,60,15,3,140,0.8034807981054621,418.2999090221464,0
125,True,3,75,15,3,140,0.8034807981054621,418.2999090221464,0
125,True,7,60,15,3,140,0.8034807981054621,414.4371362511624,0
125,True,7,75,15,3,140,0.8034807981054621,414.43713625116237,0
125,True,14,60,15,3,140,0.8034807981054621,414.4371362511624,0
125,True,14,75,15,3,140,0.8034807981054621,414.4371362511624,0
150,True,3,60,15,3,140,0.8034807981054621,418.2999090221464,0
150,True,3,75,15,3,140,0.8034807981054621,418.2999090221464,0
150,True,7,60,15,3,140,0.8034807981054621,414.4371362511624,0
150,True,7,75,15,3,140,0.8034807981054621,414.43713625116237,0
150,True,14,60,15,3,140,0.8034807981054621,414.4371362511624,0
150,True,14,75,15,3,140,0.8034807981054621,414.4371362511624,0
100,False,3,60,15,2,160,0.8939493609861389,449.3407945815389,1
100,False,3,75,15,2,160,0.8939493609861389,449.3407945815389,1
100,False,7,60,15,2,160,0.8939493609861389,449.3876123364031,1
100,False,7,75,15,2,160,0.8939493609861389,449.34079458153894,1
100,False,14,60,15,2,160,0.8939493609861389,450.0929895629239,1
100,False,14,75,15,2,160,0.8939493609861389,450.0929895629239,1
125,False,3,60,15,2,160,0.8939493609861389,449.3407945815389,1
125,False,3,75,15,2,160,0.8939493609861389,449.3407945815389,1
125,False,7,60,15,2,160,0.8939493609861389,449.3876123364031,1
125,False,7,75,15,2,160,0.8939493609861389,449.34079458153894,1
125,False,14,60,15,2,160,0.8939493609861389,450.0929895629239,1
125,False,14,75,15,2,160,0.8939493609861389,450.0929895629239,1
150,False,3,60,15,2,160,0.8939493609861389,449.3407945815389,1
150,False,3,75,15,2,160,0.8939493609861389,449.3407945815389,1
150,False,7,60,15,2,160,0.8939493609861389,449.3876123364031,1
150,False,7,75,15,2,160,0.8939493609861389,449.34079458153894,1
150,False,14,60,15,2,160,0.8939493609861389,450.0929895629239,1
150,False,14,75,15,2,160,0.8939493609861389,450.0929895629239,1
100,False,3,60,15,1,400,0.0,86.65653230182912,2
100,False,3,75,15,1,400,0.0,43.86342439892266,2
100,False,7,60,15,1,400,0.0,86.65653230182912,2
100,False,7,75,15,1,400,0.0,43.86342439892266,2
100,False,14,60,15,1,400,0.0,87.58132414802895,2
100,False,14,75,15,1,400,0.0,43.863424398922675,2
125,False,3,60,15,1,400,0.0,86.65653230182912,2
125,False,3,75,15,1,400,0.0,43.86342439892266,2
125,False,7,60,15,1,400,0.0,86.65653230182912,2
125,False,7,75,15,1,400,0.0,43.86342439892266,2
125,False,14,60,15,1,400,0.0,87.58132414802895,2
125,False,14,75,15,1,400,0.0,43.863424398922675,2
150,False,3,60,15,1,400,0.0,86.65653230182912,2
150,False,3,75,15,1,400,0.0,43.86342439892266,2
150,False,7,60,15,1,400,0.0,86.65653230182912,2
150,False,7,75,15,1,400,0.0,43.86342439892266,2
150,False,14,60,15,1,400,0.0,87.58132414802895,2
150,False,14,75,15,1,400,0.0,43.863424398922675,2
100,False,3,60,15,2,170,0.8003504120229101,455.31526400677853,3
100,False,3,75,15,2,170,0.8003504120229101,443.2536342608296,3
100,False,7,60,15,2,170,0.8003504120229101,455.0588140739006,3
100,False,7,75,15,2,170,0.8003504120229101,444.5500048138383,3
100,False,14,60,15,2,170,0.8003504120229101,467.8562205706378,3
100,False,14,75,15,2,170,0.8003504120229101,467.8562205706378,3
125,False,3,60,15,2,170,0.8003504120229101,455.31526400677853,3
125,False,3,75,15,2,170,0.8003504120229101,443.2536342608296,3
125,False,7,60,15,2,170,0.8003504120229101,455.0588140739006,3
125,False,7,75,15,2,170,0.8003504120229101,444.5500048138383,3
125,False,14,60,15,2,170,0.8003504120229101,467.8562205706378,3
125,False,14,75,15,2,170,0.8003504120229101,467.8562205706378,3
150,False,3,60,15,2,170,0.8003504120229101,455.31526400677853,3
150,False,3,75,15,2,170,0.8003504120229101,443.2536342608296,3
150,False,7,60,15,2,170,0.8003504120229101,455.0588140739006,3
150,False,7,75,15,2,170,0.8003504120229101,444.5500048138383,3
150,False,14,60,15,2,170,0.8003504120229101,467.8562205706378,3
150,False,14,75,15,2,170,0.8003504120229101,467.8562205706378,3
100,True,3,60,15,3,100,0.8091833731707992,783.9172991400869,4
100,True,3,75,15,3,100,0.8091833731707992,763.4094087463258,4
100,True,7,60,15,3,100,0.8091833731707992,783.9172991400869,4
100,True,7,75,15,3,100,0.8091833731707992,763.4094087463258,4
100,True,14,60,15,3,100,0.8091833731707992,783.9172991400869,4
